class_name,f1,precision,recall
Atelectasis,0.19806763285024154,0.1105121293800539,0.9534883720930233
Cardiomegaly,0.028846153846153848,0.01485148514851485,0.5
Effusion,0.2127659574468085,0.14423076923076922,0.40540540540540543
Infiltration,0.3116883116883117,0.21818181818181817,0.5454545454545454
Mass,0.07352941176470588,0.04201680672268908,0.29411764705882354
Nodule,0.09090909090909091,0.05970149253731343,0.19047619047619047
Pneumonia,0.044444444444444446,0.022727272727272728,1.0
Pneumothorax,0.09606986899563319,0.05392156862745098,0.44
Consolidation,0.12935323383084577,0.0718232044198895,0.65
Edema,0.040268456375838924,0.020833333333333332,0.6
Emphysema,0.053691275167785234,0.02877697841726619,0.4
Fibrosis,0.056074766355140186,0.02926829268292683,0.6666666666666666
Pleural_Thickening,0.025974025974025976,0.015151515151515152,0.09090909090909091
Hernia,0.0,0.0,0.0
